Date	Price	Open	High	Low	Vol.	Change %
01-01-2023	"2,351.30"	"2,556.90"	"2,604.10"	"2,301.15"	1.39M	-7.73%
12-01-2022	"2,548.20"	"2,736.00"	"2,754.70"	"2,493.00"	2.98M	-6.74%
11-01-2022	"2,732.40"	"2,582.00"	"2,743.60"	"2,508.00"	8.94M	7.17%
10-01-2022	"2,549.55"	"2,397.00"	"2,560.50"	"2,343.60"	9.99M	7.23%
09-01-2022	"2,377.70"	"2,589.10"	"2,628.55"	"2,313.55"	8.03M	-9.90%
08-01-2022	"2,639.10"	"2,513.00"	"2,677.60"	"2,507.95"	7.83M	5.20%
07-01-2022	"2,508.75"	"2,580.00"	"2,591.65"	"2,365.00"	12.37M	-3.29%
06-01-2022	"2,594.05"	"2,632.35"	"2,816.35"	"2,446.00"	5.05M	-1.51%
05-01-2022	"2,633.90"	"2,755.50"	"2,805.00"	"2,370.00"	9.40M	-5.62%
04-01-2022	"2,790.80"	"2,641.30"	"2,855.00"	"2,522.60"	4.69M	5.95%
03-01-2022	"2,633.95"	"2,349.10"	"2,688.00"	"2,181.00"	6.53M	11.65%
02-01-2022	"2,359.10"	"2,410.00"	"2,456.00"	"2,242.50"	11.72M	-1.14%
01-01-2022	"2,386.35"	"2,367.50"	"2,566.50"	"2,305.05"	8.30M	0.77%
12-01-2021	"2,368.15"	"2,425.50"	"2,496.00"	"2,248.00"	6.67M	-1.60%
11-01-2021	"2,406.75"	"2,531.20"	"2,602.10"	"2,309.40"	7.79M	-5.16%
10-01-2021	"2,537.60"	"2,506.00"	"2,750.00"	"2,495.85"	13.97M	0.82%
09-01-2021	"2,517.00"	"2,275.00"	"2,565.00"	"2,130.00"	12.09M	11.41%
08-01-2021	"2,259.30"	"2,047.20"	"2,283.00"	"2,041.00"	5.65M	11.00%
07-01-2021	"2,035.40"	"2,114.10"	"2,153.00"	"2,016.60"	8.58M	-3.58%
06-01-2021	"2,110.90"	"2,164.10"	"2,274.50"	"2,081.10"	10.71M	-2.29%
05-01-2021	"2,160.45"	"1,963.70"	"2,191.50"	"1,906.50"	11.39M	8.32%
04-01-2021	"1,994.45"	"2,019.70"	"2,046.10"	"1,877.60"	10.80M	-0.44%
03-01-2021	"2,003.20"	"2,114.45"	"2,231.00"	"1,973.05"	10.19M	-3.87%
02-01-2021	"2,083.85"	"1,845.20"	"2,152.25"	"1,845.20"	17.16M	13.06%
